SPECIMEN_ID,AGE_STRUCTURE_ID,Oto_length,Height,Oto_weight,Species,Fish_weight,Fish_length
4,1,17.58,8.35,0.3687,145,2940,520
7,1,19.53,8.76,0.4965,145,3210,550
11,1,23.56,11.29,0.8426,145,7000,710
33,2,21.97,10.7,0.6776,145,6860,730
40,2,19.81,9.97,0.4912,145,5370,630
46,2,20.03,9.86,0.4966,145,3750,590
14,1,,,,145,3240,560
5,1,,,,145,5020,640
6,2,,,,145,5080,670
15,1,20.8,10.13,0.5582,145,4380,630
18,1,19.7,9.84,0.5343,145,3960,600
18,2,19.62,9.67,0.5418,145,3960,600
20,2,,,,145,3870,570
38,1,23.34,10.11,0.6315,145,5060,660
38,2,23.53,9.28,0.6703,145,5060,660
48,1,,,,145,5080,620
11,1,21.79,10.66,0.6288,145,5290,670
11,2,21.92,10.63,0.6082,145,5290,670
19,1,22.26,10.47,0.5932,145,4720,650
19,2,22.14,9.58,0.5803,145,4720,650
29,1,20.62,9.64,0.5184,145,4410,580
29,2,20.99,9.35,0.5125,145,4410,580
30,2,18.56,8.02,0.3314,145,2630,540
41,1,17.32,8.31,0.3045,145,2190,500
41,2,18.03,8.36,0.3126,145,2190,500
18,2,19.59,8.97,0.3899,145,3680,600
20,2,21.02,10.18,0.6078,145,6450,660
23,2,23.48,10.8,0.7208,145,5970,690
28,2,20.79,8.85,0.4538,145,4820,660
32,2,18.6,8.65,0.3928,145,3110,550
50,2,21.84,9.05,0.5854,145,5900,690
6,1,18.19,8.12,0.321,145,1940,490
6,2,18.64,8.11,0.3374,145,1940,490
7,1,19.82,9.48,0.4667,145,3310,590
7,2,20.26,9.37,0.4622,145,3310,590
10,1,21.4,9.54,0.5162,145,3800,600
21,1,20.29,9.69,0.48,145,3930,600
21,2,20.54,9.76,0.4916,145,3930,600
22,1,19.63,10.22,0.4936,145,4500,610
22,2,,,,145,4500,610
28,1,21.39,10.44,0.584,145,4690,600
31,1,19.89,10.13,0.511,145,3510,550
32,1,,,,145,3080,570
12,2,20.98,10.67,0.6213,145,5200,660
25,2,19.49,9.36,0.4176,145,4030,580
7,1,17.2,8.01,0.2726,145,2040,500
1,1,19.83,8.53,0.4347,145,3680,600
1,2,,,,145,3680,600
8,1,16.96,8.23,0.303,145,1870,470
8,2,16.96,8.26,0.2939,145,1870,470
9,2,21.55,11.08,0.7145,145,5120,650
11,2,19.95,8.87,0.4083,145,4160,600
26,2,20.36,9.24,0.4504,145,4130,630
27,2,18.01,9.07,0.4142,145,2980,540
37,2,21.83,10.09,0.5465,145,5230,660
39,2,19.76,9.77,0.53,145,4320,610
4,1,17.43,8.59,0.3047,145,2710,530
14,1,21.61,11.55,0.8013,145,6290,670
14,2,22.21,10.95,0.7949,145,6290,670
33,1,,,,145,4100,610
47,2,18.98,9.42,0.4454,145,3960,570
3,1,21.57,11.39,0.7702,145,5350,670
3,2,20.23,10.88,0.5751,145,5350,670
26,2,18.63,9.33,0.3688,145,2990,530
27,1,18.97,9.71,0.4533,145,3210,560
27,2,18.76,9.72,0.4418,145,3210,560
9,1,20.26,9.6,0.4883,145,4090,610
9,2,19.86,9.72,0.4823,145,4090,610
10,1,19.24,9.5,0.4207,145,3980,610
10,2,19.6,9.28,0.4192,145,3980,610
35,1,21.48,10.37,0.6499,145,5190,660
1,2,19.95,9.35,0.4232,145,4160,630
36,1,21.78,10.1,0.5697,145,4320,630
39,1,21.88,9.98,0.6025,145,4050,580
42,1,23.53,11.55,0.9073,145,7040,700
43,1,19.38,9.57,0.4232,145,3560,560
43,2,18.93,9.58,0.4143,145,3560,560
12,1,18.28,9.17,0.3734,145,2970,550
24,1,16.69,8.51,0.2999,145,2450,500
25,1,16.28,8.1,0.2676,145,2050,480
45,1,17.05,8.66,0.3259,145,2750,530
45,2,17.29,8.84,0.3309,145,2750,530
46,1,21.24,9.61,0.5129,145,3860,600
46,2,21.59,10.23,0.5426,145,3860,600
26,1,20.28,9.53,0.4378,145,4130,630
27,1,,,,145,2980,540
37,1,,,,145,5230,660
39,1,19.71,10.04,0.5266,145,4320,610
23,2,21.35,9.71,0.5489,145,4960,620
24,2,16.95,8.49,0.3017,145,2450,500
25,2,,,,145,2050,480
33,2,19.31,10.22,0.4919,145,4100,610
34,2,,,,145,1540,440
35,2,20.95,10.24,0.6314,145,5190,660
37,2,19.09,9.04,0.3963,145,3360,580
39,2,21.3,9.58,0.5781,145,4050,580
40,2,19.64,9.32,0.4579,145,3710,600
42,2,23.24,11.02,0.6528,145,7040,700
44,2,22.45,10.97,0.6836,145,6060,700
1,1,21.92,10.82,0.6201,145,5300,720
49,2,,,,145,3680,580
15,2,19.95,9.18,0.5031,145,4380,630
29,1,22.73,10.25,0.6241,145,5280,660
29,2,22.39,9.76,0.597,145,5280,660
36,1,17.04,8.56,0.2977,145,2320,490
36,2,16.77,8.49,0.2878,145,2320,490
38,2,20.55,9.55,0.4711,145,4000,590
45,1,22.29,10.88,0.6551,145,5920,680
45,2,22.21,9.66,0.632,145,5920,680
49,1,20.28,10.01,0.4509,145,4140,610
14,2,23.09,10.23,0.7676,145,6470,710
20,1,20.61,10.77,0.6243,145,6450,660
23,1,23.88,10.86,0.7426,145,5970,690
50,1,22.4,9.54,0.5723,145,5900,690
1,1,19.01,8.87,0.3608,145,3410,530
2,1,19.72,9.52,0.4249,145,4580,640
3,1,18.67,10.1,0.4515,145,4270,620
4,1,20.72,11.05,0.6493,145,5100,680
5,1,20.93,9.47,0.5004,145,4670,650
6,1,,,,145,3130,560
7,1,19.23,9.34,0.3952,145,3770,600
8,1,20.62,10.36,0.5156,145,4270,620
9,1,18.95,9.62,0.4126,145,3990,600
10,1,19.72,9.58,0.4481,145,5980,630
11,1,19.86,9.25,0.3937,145,4160,600
12,1,20.92,10.7,0.5922,145,5200,660
13,1,,,,145,6170,700
14,1,23.82,9.69,0.7656,145,6470,710
15,1,22.23,11.27,0.6779,145,5740,680
16,1,18.04,8.63,0.3384,145,3040,570
17,1,18.88,8.86,0.3794,145,2600,530
18,1,19.54,9.35,0.4035,145,3680,600
19,1,18.86,9.75,0.4461,145,4170,610
24,1,19.28,9.42,0.4053,145,3790,590
28,1,20.93,9.59,0.4795,145,4820,660
31,1,19.56,9.84,0.4643,145,4180,630
34,1,23.83,11.33,0.8081,145,7210,710
38,1,20.47,9.48,0.4788,145,4000,590
41,1,13.58,6.74,0.1662,145,750,360
44,1,17.51,8.98,0.3635,145,2980,520
48,1,20.13,9.4,0.4282,145,3400,570
1,2,20.52,10.16,0.5203,145,,640
3,2,18.38,8.98,0.3692,145,,590
6,2,,,,145,8370,730
7,2,22.6,10.3,0.596,145,5500,640
11,2,20.74,11.36,0.6486,145,6640,710
14,2,20.31,9.9,0.5015,145,4070,670
24,2,20.88,9.97,0.5195,145,5380,700
42,1,23.54,11.61,0.9105,145,8500,740
42,2,24.1,11.19,0.9432,145,8500,740
7,2,19.43,9.29,0.4048,145,3770,600
8,2,20.53,9.74,0.5063,145,4270,620
40,1,20.09,9.75,0.4879,145,5370,630
5,2,17.44,7.64,0.2898,145,1940,480
16,2,19.37,9.07,0.4277,145,3700,600
2,2,20.4,8.87,0.4786,145,3680,610
4,2,19.45,9.36,0.4884,145,4630,610
10,2,18.94,8.75,0.4071,145,3800,600
12,2,18.8,9.21,0.3935,145,2970,550
13,2,19.2,8.8,0.4081,145,3550,570
16,2,17.32,9.77,0.4347,145,3520,570
28,2,22.16,10.01,0.6025,145,4690,600
31,2,19.94,9.67,0.5009,145,3510,550
32,2,19.14,8.85,0.3863,145,3080,570
36,2,21.69,9.89,0.5468,145,4320,630
48,2,19.77,10.28,0.5291,145,5080,620
50,2,19.68,9.23,0.4127,145,3090,540
21,1,20.71,10.9,0.5892,145,5810,690
21,2,20.45,10.59,0.5495,145,5810,690
22,1,20.04,9.8,0.5146,145,4800,630
30,1,18.23,9.77,0.4124,145,3110,550
30,2,17.84,9.17,0.3963,145,3110,550
33,1,21.72,10.66,0.6659,145,6860,730
35,1,21.73,10.4,0.7037,145,6120,710
41,2,13.6,6.82,0.1655,145,750,360
43,1,19.37,9.48,0.4242,145,4130,600
43,2,19.66,9.41,0.4188,145,4130,600
44,2,17.45,8.69,0.342,145,2980,520
46,1,20.87,9.82,0.5133,145,3750,590
47,1,19.16,9.79,0.4015,145,4300,610
48,2,19.97,9.45,0.4214,145,3400,570
32,1,18.45,8.98,0.3944,145,3110,550
25,1,19.21,9.67,0.4073,145,4030,580
4,2,,,,145,2710,530
7,2,16.92,8.06,0.2784,145,2040,500
8,2,20.34,9.71,0.5234,145,4460,650
14,2,,,,145,3240,560
5,2,20.06,10.41,0.5297,145,5020,640
4,2,18.26,8.33,0.3813,145,2940,520
7,2,15.53,8.08,0.2299,145,1540,430
1,2,22.36,10.85,0.6577,145,5300,720
5,1,20.9,10.65,0.6041,145,4990,660
5,2,20.52,10.9,0.5931,145,4990,660
13,2,21.75,10.11,0.5799,145,4940,660
12,2,17.59,8.19,0.3479,145,1820,490
7,2,19.27,8.91,0.4894,145,3210,550
8,1,17.75,8.17,0.3323,145,2020,460
8,2,,,,145,2020,460
2,2,17.31,8.43,0.3092,145,2490,530
6,2,17.43,7.75,0.2882,145,1740,460
9,2,19.54,10.43,0.5284,145,4550,630
3,1,17.64,8.05,0.3215,145,1800,460
3,2,17.71,8.19,0.3138,145,1800,460
11,2,19.57,8.31,0.3758,145,2820,540
1,1,,,,145,3530,540
1,2,19.98,9.38,0.401,145,3530,540
1,2,,,,145,2420,530
10,2,18.44,9.63,0.4017,145,2920,550
2,1,19.38,9.66,0.415,145,3050,570
2,2,19.65,9.22,0.4011,145,3050,570
9,1,,,,145,1970,470
9,2,16.98,8.43,0.2842,145,1970,470
10,1,19.17,9,0.3866,145,2730,530
10,2,18.88,8.89,0.3621,145,2730,530
8,2,19.18,9.27,0.4556,145,2520,540
4,2,20.48,10.41,0.5212,145,3870,590
14,2,17.71,8.53,0.3324,145,1900,480
3,2,20.78,9.63,0.4556,145,3960,620
12,1,18.04,8.67,0.3894,145,2510,530
12,2,17.74,8.72,0.3786,145,2510,530
13,1,19.3,9.53,0.4626,145,2960,570
13,2,18.42,9.5,0.4491,145,2960,570
6,1,,,,145,1480,430
6,2,,,,145,1480,430
5,2,20.38,9.61,0.4596,145,4180,620
11,2,23.79,10.15,0.8097,145,7000,710
